text,assistant
"Pardon?","Is that a [ITEM_SIZE] size?"
"Oh, no, it's a king size. It's king size? Yeah, it'll be a king size. Three quarters of it is margarita and one quarter of it is a Mexicana.","Okay. Would you like anything else?"
"Oil check. Give me a moment. Just that king.","Okay, that's a [ITEM_SIZE] with four quarters. You've got three quarters [ITEM_NAME] and a quarter [ITEM_NAME]."
"Yeah.","Thank you. $33 and you can come and pick that up in 20 minutes."
"Sure. How long would that take?","20 minutes."
"[PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER], [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yes, correct.","Thank you. What would you like?"
"Click it. A large barbecue chicken pizza and large Aussie flows. That's all. Thank you.","Would you like anything else? Okay, thank you. That's a [ITEM_SIZE] [ITEM_NAME] pizza and a [ITEM_SIZE] Aussie. That's 41 50 and it should be ready for you to pick up in 20 minutes."
"Pickup.","All right. Just a moment, please."
"What bumps I put on the [PERSON_NAME].","Can I have your name, please?"
"Put on the [PERSON_NAME]? Oh. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. 4392.","Thank you. What would you like to order?"
"One large half country special.","Okay. Anything else?"
"And the other half is satay chicken, please.","Got it. Would you like to add anything else to your order?"
"That's all, thanks.","All right. A [ITEM_SIZE] half [ITEM_NAME] and half satay chicken. That would be $33. And you can come pick it up in 20 minutes."
"Chuck in a garlic bread too. Thanks.","Okay. A [ITEM_SIZE] half [ITEM_NAME], half satay chicken, and a garlic bread. Your total is $33. You can come pick it up in 20 minutes."
"Phone number?","Yes, please."
"[PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER].","Okay, thank you, [PERSON_NAME]. And was it a town, country or town special?"
"A medium town special, please.","Medium [ITEM_NAME]. Anything else for you, [PERSON_NAME]?"
"No, that's all. Thank you.","Okay, this will be ready in about 20 minutes for pickup. Thank you."
"Yeah, hi, can I make a booking for this Sunday night for seven people at 06:00, please?","Seven people at 06:00 on Sunday at your [LOCATION] store? Yes, that's correct. And what name would you like it under?"
"[PERSON_NAME] [PERSON_NAME]. And just a contact phone number [PHONE_NUMBER].","[PHONE_NUMBER], that's just my number. As long as we have someone's contact, just in case, for whatever reason. And that's for this Sunday coming up?"
"Can I please place an order for a delivery?","Absolutely. Sure. Let's do that. Delivery times are 1 hour. You all right with that?"
"Yeah, that's fine.","Wonderful. Can I have your phone number, please?"
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]?","Yeah."
"[PHONE_NUMBER] yeah. Yep.","Okay, thank you. And is that for [PERSON_NAME]?"
"Yes.","[LOCATION] [LOCATION] [LOCATION], [LOCATION] [LOCATION]."
"That's it.","All right. Give me 1 second. Let me check the availability of the drivers in that area. One quick second. [LOCATION] [LOCATION]. Yeah, we should be able to do that. Let's begin. What would you like to order?"
"A small garlic pizza. Thank you.","Okay."
"And a large half margarita, half Aussie.","[ITEM_NAME] and [ITEM_NAME] Combo?"
"Yes, thank you.","Okay, done. What else?"
"Just a small spaghetti bolognese.","[ITEM_SIZE] spaghetti bolognese. Small one?"
"Yeah. Yes. Thanks.","Okay. [ITEM_NAME]. That's done. Right. Would there be any drinks?"
"Would you like to get. Yeah, we'll get a Coke. Thank you.","Okay, so we're getting coke standard or Coke, no sugar?"
"Standard, thanks.","Okay. Is that going to be can or glass bottle or 1.25 liter?"
"1.25.","Okay, that's fine. I'll read out to you. What I have is a [ITEM_SIZE] garlic pizza to begin with. Then I have a [ITEM_SIZE] half and half pizza, which is half [ITEM_NAME], half [ITEM_NAME]. And then I have a spaghetti bolognese as a size of. [ITEM_SIZE], small size. And then you have Coke. 1.25 liter. All good?"
"Yes, thank you.","Wonderful. The total comes down to $63.80. Did you want to pay that over the phone now with me, or will it be cash?"
"I'll have $100 in cash.","That's fine. I'll tell the driver to bring the change with them. We'll see in an hour's time. Thanks very much."
"To be delivered. Thank you.","Sure. Can I please have your phone number?"
"[PHONE_NUMBER] yeah, that's correct very much. This is [PERSON_NAME], right?","Yeah, correct."
"Can you please verify your address for delivery?","[LOCATION] [LOCATION] [LOCATION] [LOCATION] in [LOCATION]. [LOCATION] [LOCATION]."
"Thank you very much for confirming that. What would you like to order?","Can I get a spaghetti bolognaise?"
"Spaghetti bolognaise?","Yeah. A garlic."
"Main size or entree?","Entree."
"Okay. Garlic bread as well?","A garlic bread? Yeah."
"And 1.25 Coke.","Okay. Anything else beside that?"
"No, that's all. Thank you.","Okay, so we have an entree size [ITEM_NAME] and a serving of garlic bread. And one and a quarter coke, right?"
"Yes, thank you.","That would be $35.80. Would you like to pay cash or card?"
"Card.","Just give me a moment. Whenever you're ready with the card number."
"40.","[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER]."
"1007.","[NUMBER_SEQUENCE] the expiry. [CREDIT_CARD_EXPIRATION] and the CVV. Thank you very much. We're going to charge $35.80 now. Please bear with me. It's a Visa card, right?"
"Yeah.","For some reason it was declined. Can I have the card number again, please?"
"Hang on. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Three."
"[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER].","And the expiry, you said [CREDIT_CARD_EXPIRATION]?"
"Yeah.","And the CVV, please?"
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV].","Thank you, ma'am. And I'm sorry about the inconvenience."
"No, that's all right. It does this.","Thank you, ma'am. The order happened, right? The estimated delivery time is. Yes, ma'am. The card did go through now. And the estimated delivery time is 80 minutes. Like an hour and 20 minutes, ma'am."
"Okay. Thank you.","No problem. Is there anything else we can help you with today?"
"No, that's a lot. Thank you.","Sure. Thank you, ma'am."
"Oh, yeah. I just wanted to book for tomorrow night.","That's exactly that. Give me one second. Let me have you connected to somebody on the front end and you can have it sorted for you. Okay, no worries. Here we go. Transferring. Cheers."
"Hi, how can I help you? This is town and Country. Hi, how are you? I just wanted to book a table for six for tomorrow night.","Table for six, for six people?"
"Yes, six people. At probably 6:30. Quarter to seven tomorrow night.","Around 6:30 to 7. Under which name can it be under?"
"[PERSON_NAME].","[PERSON_NAME]. And can I have your contact number, please?"
"[PHONE_NUMBER]","[PHONE_NUMBER], see you tomorrow evening."
"Certainly. Can I get your phone number first, please?","Yes. [PHONE_NUMBER] thank you."
"Is that for [PERSON_NAME]?","It is."
"Thank you. Can I have your order please?","Can I have half country special and half satellite chicken, please?"
"Okay. That's a large just to confirm.","Yes."
"Okay. Would you like anything else?","No, that'll do. Thank you."
"Thank you. That's $31. Would you like to pay by cash or card?","I'll pay by card. Thank you."
"Card. Okay, I'll just take some details off you. Thank you. Can I start with the card number, please?","[CREDIT_CARD_NUMBER]."
"Thank you. The expiry date, please?","[CREDIT_CARD_EXPIRATION]."
"Thank you. And the CVV, please?","[CREDIT_CARD_CVV]."
"Thank you. Could you just bear with me, please? While the payment's processing.","Thank you."
"Perfect. That's done. $31 and it should be delivered to you in 45 minutes.","Thank you very much."
"Can I get your phone number. First, please?","Certainly, my phone number is [PHONE_NUMBER]."
"Is that for [PERSON_NAME]? You can be under [PERSON_NAME]. Yeah.","Okay."
"What would you like? Can I have four large pizzas, one Hawaiian. Okay. One margarita, one Capitosa, one lamb. Anything else? No, that's all.","So you've got four [ITEM_SIZE] pizzas: one [ITEM_NAME], one [ITEM_NAME], one [ITEM_NAME], and one [ITEM_NAME]."
"Yes.","Thank you. That will be $83 and it should be ready for you to pick up in 20 minutes."
"[PERSON_NAME] [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME]. Yeah.","And [ITEM_NAME]."
"Yes.","Yeah. If you name the things that you wanted to change, I might just have to check if they are actually a part of the mix or not."
"I always get it taken.","Oh, well, then what exactly do you want to be removed?"
"Yeah, I always get no onion and no olives.","No [ITEM_INGREDIENT], no [ITEM_INGREDIENT]. So they would just be the Napolitana sauce, dried tomatoes, garlic, mushrooms, spinach, capsicum, and Parmesan."
"Yes, that's correct.","No worries. Just put that one through. That one's all good."
"[PHONE_NUMBER].","Thank you. [PERSON_NAME]?"
"Yes.","Thank you. What would you like?"
"Cubbies. Get one large margarita.","Mmhmm."
"One large country special.","Okay."
"And one garlic bread.","And one garlic bread. Would you like anything else?"
"No, thanks.","So that's a [ITEM_SIZE] [ITEM_NAME], a [ITEM_SIZE] [ITEM_NAME] and a serving of garlic bread?"
"Yes, please.","Thank you. That's $48.50 and it will be ready for you to pick up in 20 minutes."
"20 minutes. Great. Sounds good.","Thank you."
"[PERSON_NAME].","Yes, that's right."
"Great. I'll see you soon.","Yes, thank you. Bye."
"Hey mate, can I just get two large pizzas for delivery?","Yeah, of course. Can I get your phone number first, please?"
"[PHONE_NUMBER]. Sorry? [PHONE_NUMBER] [PHONE_NUMBER]. Wait. Shit. [PHONE_NUMBER]. Yeah. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. And the name, please?"
"[PERSON_NAME] [PERSON_NAME].","Sorry, could you spell that for me, please?"
"[PERSON_NAME].","Thank you. And what's the address you'd like it delivered to, please?"
"[LOCATION] [LOCATION] [LOCATION].","Is that [LOCATION] [LOCATION] [LOCATION], [PERSON_NAME]? Thank you. And what would you like?"
"I'll get the two large pizza deal. One I'll get half southwest, half pepperoni. Okay, yeah, normal pepperoni, not the gourmet. And then the other one I'll get one quarter Hawaiian, one quarter barbecue chicken, one quarter country special and one quarter Mexican.","Okay. Would you like anything else?"
"No, thanks.","Thank you. I'll repeat your order for you. You've got a [ITEM_SIZE] half [ITEM_NAME] and half [ITEM_NAME]. You've got a [ITEM_SIZE] four quarters with [ITEM_NAME], [ITEM_NAME], [ITEM_NAME], and [ITEM_NAME]. That's correct. Would you like to pay by cash or card?"
"Card. Thanks.","Card. I'll just take some details off you if I can, please. Can I start with the card number, please?"
"[CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Okay. And the expiry date, please?"
"[CREDIT_CARD_EXPIRATION] [CREDIT_CARD_EXPIRATION] [CREDIT_CARD_EXPIRATION] [CREDIT_CARD_EXPIRATION].","And the CVV, please."
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV].","Just bear with me please while the payment's processing. Thank you. Perfect. That's done. It should be delivered to you in an hour's time."
"A delivery, please.","Delivery. Can I get your phone number first, please?"
"[PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] Will that guy pass?","Thank you. Is that for [PERSON_NAME]?"
"Yeah.","And it's [LOCATION] [LOCATION] [LOCATION]."
"Yes, thank you.","What would you like?"
"Can I get a small margarita pizza, please? Can I get a small vegetarian but with ham on it? Okay, can I get a small Aussie pizza, please? Okay, and can I get a small pumpkin pizza, please, with no mushrooms?","A [ITEM_SIZE] [ITEM_NAME] pizza, a [ITEM_SIZE] vegetarian with added [ITEM_INGREDIENT], a [ITEM_SIZE] Aussie, and a [ITEM_SIZE] pumpkin with the mushrooms removed. Would you like anything else?"
"Can I get a two liter bottle of coke and a garlic bread too, please?","Okay, we've got a 1.25 liter bottle of coke."
"I'll get two of those, thanks.","Okay, and a garlic bread. Anything else?"
"No, that's all, thanks.","Thank you. I'll repeat your order for you. You've got a [ITEM_SIZE] [ITEM_NAME], a [ITEM_SIZE] vegetarian with added [ITEM_INGREDIENT], a [ITEM_SIZE] Aussie, a [ITEM_SIZE] pumpkin with the mushrooms removed, two 1.25 liter bottles of coke and a servings of garlic bread."
"Thank you.","Thank you. That's 81 60. Would you like to pay by cash or card?"
"Card, thanks.","Card. I'll just take some details. If I could start with the card number, please."
"[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] okay, [CREDIT_CARD_NUMBER].","Thank you. The expiry date, please?"
"[CREDIT_CARD_EXPIRATION].","Thank you. The [LOCATION], please."
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV]. Oh, thank you for.","Just bear with me, please, while the payment is processing. Perfect. That's done. 81 60 and it should be delivered to you in an hour's time."
"It's for [PERSON_NAME]. [PERSON_NAME] at [LOCATION] [LOCATION] [LOCATION].","Yes. Just checking for you now. One quick second. [PERSON_NAME], I'll just have you transferred to the front desk and they will assist you with that timing. The driver should be there, but they have the exact information on the back end. Okay. Transfer now."
"Yeah, hi, I'm just wondering if I could get an ETA on the delivery of our pizza. It's extra late now.","What was the delivery address for?"
"[LOCATION] [LOCATION] [LOCATION], [LOCATION]. It was supposed to be here at 07:20.","Was it [LOCATION]? The driver is on his way, so it should be there shortly. He left the store."
"Okay, can I ask what the hold up's been?","I'm really sorry. We got really lots of deliveries all of a sudden out of nowhere. But I can definitely assure you the driver is on his way. He left the store and will be there in whatever time it takes from here to your house."
"Hi, I meant pickup. We'll come by and pick it up.","Oh, okay. So it's a pickup. Okay, give me 1 second. Pickups are 20 minutes, by the way. Is that going to be okay?"
"Yeah, no worries. 20 minutes is fine.","That's fine. Wonderful. All right, let's begin. Can I have your phone number before I proceed, please?"
"Yeah, no worries. So, [PHONE_NUMBER].","Okay. [PHONE_NUMBER]. And that's under the name. I've got name on here. That's [PERSON_NAME]."
"Yes, perfect.","Okay, wonderful. Let's begin. What would you like to order, please? I'm ready."
"Small margarita with extra jalapenos.","One [ITEM_SIZE] [ITEM_NAME] with extra [ITEM_INGREDIENT]. Just wanted to say that we have a deal of two large pizzas for $41.50. Don't know if you are interested in that, are you?"
"It's just two people eating today, so I think we will skip it. But thank you.","No, that's fine. I just wanted to offer you the whole option available. That's fine. Alright, so it's one [ITEM_SIZE] [ITEM_NAME] with [ITEM_INGREDIENT] added to it. Anything else?"
"No, that should be wonderful. Thank you.","No worries. That'll be $15 and we'll have it ready for you to pick up in 20 minutes."
"Sure, my phone number is [PHONE_NUMBER].","Thank you. What's the delivery address?"
"The address is [LOCATION], [LOCATION].","Okay. Sorry. Is that for [PERSON_NAME]?"
"Yes, that's correct.","Could you give me the address again, please?"
"It's [LOCATION], [LOCATION].","Okay. It's not serviceable by the restaurant, I'm afraid. We don't deliver to [LOCATION]."
"Can I get a medium hot pepperoni. And a large Mexican with extra anchovies and salami, please.","Okay. And what would you like for the other one?"
"And the other one is a half and half. I'll get southwest chicken with no jalapenos on half.","Okay. And that's [ITEM_SIZE]?"
"Yes. And half Aussie with barbecue sauce.","With barbecue sauce. Anything else?"
"No, that's it. That's three.","Thank you. I'll repeat your order. You've got a [ITEM_SIZE] [ITEM_NAME]. A [ITEM_SIZE] [ITEM_NAME] with added [ITEM_INGREDIENT] and [ITEM_INGREDIENT]. And you've got a [ITEM_SIZE] half [ITEM_NAME] with barbecue sauce. And half [ITEM_NAME] with the [ITEM_INGREDIENT] removed."
"Yes.","Thank you. That's 69 50. Would you like to pay by cash or card?"
"Can I do it with the card now, please?","Of course you can. I'll just take some details. Can I start with the card number, please?"
"Yes. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER].","Okay. And the expiry date, please?"
"[CREDIT_CARD_EXPIRATION].","Thank you. And the CVV, please."
"My wife just made an order online for two gluten free pastas. It was under [PERSON_NAME] [PERSON_NAME].","Can you spell [PERSON_NAME] for me?"
"It's [PERSON_NAME]. No, [PERSON_NAME]. Yes.","I haven't got any order under that name."
"No, not under [PERSON_NAME] [PERSON_NAME].","Sorry sir, I don't think. I haven't got any under clear events now."
"Are you sure this is Hannah Countryborn funds?","Yes, sir, I will just check."
"Is it like, did it like five minutes ago?","Okay, is there any possibility it can be under any another name?"
"It might be under [PERSON_NAME], but it asked for the name.","[PERSON_NAME] [PERSON_NAME]."
"Yes.","Two gluten free pastas, [ITEM_NAME] and [ITEM_NAME]."
"Yeah, well that's me. But it asked for the name and I put in my wife.","Okay, so [PERSON_NAME] will pick this?"
"Yes.","Yeah, all good then."
"Okay, so we asked for it to be ready at six, but we're actually going to be there a bit sooner so could we have it ready ASAP? Is that all right?","Yeah, I can do it now if you want another 15-20 minutes."
"Yeah, [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yeah.","Thank you. And what would you like?"
"Can I please get a medium half Mexicana, half margarita?","Anything else?"
"On the Mexicana, can I get no chili, please? Like, no chili flakes?","Okay. And would you like anything else?"
"Yes, sorry. Another medium half Aussie, half pepperoni, please.","Thank you. I'll repeat your order. You've got a [ITEM_SIZE] half [ITEM_NAME], half [ITEM_NAME] with the [ITEM_INGREDIENT] removed and a [ITEM_SIZE] half [ITEM_NAME] and half [ITEM_NAME]."
"Yeah, that's perfect. Thank you.","Thank you. That's $36 and you can come and pick that up in 20 minutes."
"Yep. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is that for me?"
"Yeah.","Thank you. What would you like?"
"Can I grab a large Southwest chicken, no onion?","Okay. A [ITEM_SIZE] [ITEM_NAME] with the [ITEM_INGREDIENT] removed. What else would you like?"
"A large margarita. And can I please have a medium Aussie with vegan cheese?","So you'd like the normal cheese removed and vegan cheese added to the [ITEM_SIZE] [ITEM_NAME], making it dairy free?"
"Yes, please. So it's dairy free?","Okay. Would you like anything else?"
"Maybe garlic bread, please.","Thank you. That's a [ITEM_SIZE] southwest chicken with the onions removed, a [ITEM_SIZE] margarita, a [ITEM_SIZE] Aussie with vegan cheese and a serving of garlic bread. Will that be all?"
"Yes, thanks.","Thank you. That's 67, 50, and you can come and pick that up in 20 minutes."
"Thank you very much.","You're very welcome. Bye."
"About 5:30 PM. Do I need to make a booking for eight people?","Yes, sure. I can do that for you."
"Or can we just arrive?","You can just arrive if you want. I can take in your booking as well. That's not a problem."
"Look, I think we'll just arrive because I'm not sure if it's going to be eight or ten people.","Okay. Yeah, you can just walk in. We are open from 4:00 PM."
"A pickup, please.","Okay. I would need your phone number. Can you provide me one, please?"
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Okay, I'll read it back to you. So [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]."
"Yes.","Okay, thank you. And that's for [PERSON_NAME]?"
"Yes, please. And tell me, what kind of risotto do you have? Do you have prawn?","I'll tell you what risottos I have. One moment. Let me just check it out for you. I've got vegetable risotto, and I've got mushroom risotto."
"And you don't have prawns. You can't put prawns in there?","No, we can add. You can tell us anything. We can add anything into any dish. You tell us. It's up to you."
"I don't want mushrooms. I would like prawns in there, please.","Okay, so for [ITEM_NAME], I'll select that. But we're doing [ITEM_SIZE] or [ITEM_SIZE]. Which one do you want?"
"How much is the entree?","[ITEM_SIZE] is 21. [ITEM_SIZE] is 25."
"I'll have the 25 one, please. The main.","Okay, no worries."
"In?","Yes. Do you want me to remove the mushrooms on there first?"
"Do you need the mushrooms? And then you put in the prawns, please.","I'll do that. Give me one. So [ITEM_INGREDIENT] removed and adding [ITEM_INGREDIENT]. [ITEM_INGREDIENT] added. There you go. What else would you like to get, please?"
"That's all. So how long will it take?","This will be ready for pickup in about 20 minutes. And the total for this order is $26. Okay."
"Okay. Thanks so much.","No worries. The extra dollar, it was 25, but the extra dollar. That is for the extra [ITEM_INGREDIENT] there. That's why. Okay."
"No, delivery hour. And for pickup it's 20 minutes.","All right, perfect. And have you got a deal for like, three pizzas or four?"
"We've got a deal for two large pizzas, which is $41.50.","All right, cool. All right. So for four, it'd be just double that, yes?"
"Okay. Is that pickup or delivery?","Pickup, please."
"Can I get your phone number first, please?","[PHONE_NUMBER]."
"Thank you. Is that okay?","Yeah."
"Thank you. What would you like and how long for delivery?","Delivery is an hour."
"Okay, let's do pickup. Okay, so can I get a ham and cheese with cheese on top as well? Extra cheese.","Sorry, that's a [ITEM_SIZE] ham and cheese with extra [ITEM_INGREDIENT]?"
"Yes. Anything else?","Yeah, what is it? A town special, country special. Which one's the one with the lot?"
"The country special has everything on it except the anchovies. The town special has anchovies.","Right. So a country special with no seafood. And what else was the other one? And a margarita. Do you reckon that a bit? Three adults and four kids. Is that enough?"
"Three large should be okay. Yeah?","Oh, yeah. Would you like anything else?"
"No. And a garlic bread.","And a garlic bread. Would you like anything else?"
"No, I think that'll do.","Can I just repeat your order for you? Just to confirm, you've got a [ITEM_SIZE] ham and cheese with extra [ITEM_INGREDIENT], a [ITEM_SIZE] country special, a [ITEM_SIZE] margarita and a serving of garlic bread."
"Yes.","Thank you. $72.50. It'll be ready for you to pick up in 20 minutes."
"Right. Okay. Thank you.","Thank you. Bye."
"No worries.","You'd be okay with that? Yeah. Wonderful. I would need your phone number. Could you kindly read it out to me, please?"
"[PHONE_NUMBER] [PHONE_NUMBER].","Yeah. Thank you very much. And that'll be for [PERSON_NAME]. [LOCATION] [LOCATION] [LOCATION], correct?"
"Yes. That's fine. I'll try my best to keep it under an hour time, but this is the expected time. Alright, let's begin. [PERSON_NAME], welcome. Let's begin. What would you like to order?","Can I grab the spaghetti bolognese pizza, please?"
"Spaghetti bolognese. What size?","We do from king size all the way down to small. You tell me what size you want, I'll select that."
"Just a medium or regular?","Medium. Okay. And you want that one with spaghetti bolognese sauce on top?"
"Yeah, that's fine.","Bolognese sauce on top. That's it. All done. No garlic bread or drink or anything?"
"No. There's another pizza.","You want to order another one? Okay, let's do it. Which one would you like?"
"I'll grab a thin base. Mexicana.","Thin base Mexicana. What size or small?"
"Large or medium again?","Medium again. And thin base. Yeah, let's do that. One second. Do you need that well done or just standard as is?"
"Just as is. But I'll add garlic, barbecue sauce, and jalapenos.","Okay. Sauce on top?"
"Yeah, on top.","And then jalapenos, correct."
"Yes.","And then. Is that it?"
"That's all, mate.","Okay. Let me read out to you. So for this specific pizza, it's a thin based Mexicana pizza, [ITEM_SIZE] with barbecue sauce on top. Jalapenos on top as well. Is there anything else?"
"And garlic on that one.","And garlic. Yeah, I was assuming I did miss something out. And garlic on top. Let's add that on for you, mate. Done. Wonderful, [PERSON_NAME]. So it's two [ITEM_SIZE] pizzas? That's correct, yes. Okay. Total is $43. Do you want me to read the order back to you?"
"You're all man.","Alright. That's fine. So did you want to pay this over the phone with me or will it be cash on delivery?"
"Yeah, I'll pay now.","Okay. Stay with me one second. Let me have that ready on here. Alright. Beautiful. Let's begin. [PERSON_NAME], could I have your long card number, please?"
"[CREDIT_CARD_NUMBER].","Yes."
"[CREDIT_CARD_NUMBER].","Yep."
"[CREDIT_CARD_NUMBER].","[CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER]. Yes. Okay. Expiry, please."
"[CREDIT_CARD_EXPIRATION] to the 25th.","25. Yeah. Wonderful. And security, please."
"[CREDIT_CARD_CVV] [CREDIT_CARD_CVV].","Okay, thank you. Running that now. Currently, it's processing the total amount. $43. Okay. Just waiting for it to complete. No worries."
"All good.","Yeah, that's all done, [PERSON_NAME]. I'll try and get it done and delivered around in an hour's time. If not, then, as I said, like 80 minutes. But I'll do my best. Alright."
"Sure. Just give me a moment. Can I have your phone number, please?","It's [PHONE_NUMBER]."
"Thank you. Just give me a moment. [PHONE_NUMBER] Yep. And your name?","[PERSON_NAME]."
"Sorry?","[PERSON_NAME]."
"[PERSON_NAME].","[PERSON_NAME]. [PERSON_NAME]."
"What would you like to order?","I'm after a large pizza, but I'm after a half and half, if I can."
"Sure.","Half and half. One half, the pumpkin pizza."
"The pumpkin pizza?","Yeah."
"Okay.","The other half, the sauteed chicken."
"Sauteed chicken. Okay. Anything else beside that?","That's it. Thanks."
"Okay, that would be $26, and your order would be ready for pickup by 5:10.","All right, perfect. Thank you."
"Anything else we can help you with?","That's it. Thanks."
"Yes, sure. It's [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yeah, but [PERSON_NAME] is going to come in and pick it up. Okay.","Let me just put that down. And what would you like?"
"Can I please have a large margarita with no herbs?","Okay. Anything else?"
"That's all. Thank you.","Thank you. That's a total of $23, and it should be ready for you to pick up in 20 minutes."
"Can I get your phone number first, please?","[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]."
"Thank you. And the name, please?","[PERSON_NAME] [PERSON_NAME]."
"Thank you. Any order, please?","Can we get a medium fork order, please? One will be [PERSON_NAME]."
"Okay.","And then barbecue chicken. And can we add meatballs to that as well, please?"
"Okay. You'd like to add meatballs to the barbecue chicken?","Yeah. And then for the third one, we'll have Southwest chicken, please. And then the last one, just a country special, please."
"Okay. Would you like anything else?","We'll just get a garlic bread as well, please."
"Okay. Anything else?","No, thanks. That's all."
"Thank you. That's a medium four quarters pork [PERSON_NAME] chicken barbecue with meatballs, southwest chicken and a country special. And you've got a serving of bread as well?","Yeah."
"Thank you. $29, and it'll be ready for you to pick up in 20 minutes.","Yeah. Thank you."
"Yeah. [PHONE_NUMBER] that's it.","Okay, have a look. One moment. Okay, that'll be for [PERSON_NAME]."
"Yeah.","[LOCATION] [LOCATION] [LOCATION]. [LOCATION] [LOCATION]."
"That's correct. [LOCATION] [LOCATION].","[LOCATION] [LOCATION]. Wonderful. Delivery time is expected about 1 hour. You're going to be right with that?"
"That's okay? Yeah, sure.","Wonderful. All right, let's begin, mate. What would you like to order, [PERSON_NAME]?"
"Can I get a large Aussie?","One [ITEM_SIZE] [ITEM_NAME] pizza. And what else would you like?"
"And I'll get a large half hot pepperoni, half Oceana.","Okay, so it's a half and half [ITEM_SIZE] pizza. One side [ITEM_NAME] and the other side hot pepperoni. Any changes to the toppings?"
"Oceana and hot pepperoni.","Hot pepperoni. One quick second. Done. Do you need any changes to [ITEM_NAME] or hot pepperoni at all? Like, topping wise?"
"That's a lot, thanks.","Okay, wonderful. So I'll read the order back to you and tell me if anything is changing. [PERSON_NAME]. Okay, so here we go. The first item we have is an [ITEM_SIZE] [ITEM_NAME] pizza. And then we have a half and half [ITEM_SIZE] pizza, which is a combination of [ITEM_NAME] and hot pepperoni. All good."
"Thank you.","Yeah. And the final item is a main. As in the [ITEM_SIZE] [ITEM_NAME] pasta with fettuccine pasta. Is that correct?"
"Yes.","Wonderful. That's all done. No drinks?"
"No, thanks, [PERSON_NAME].","No worries. All right, the total comes down to 70.50. Do you want to pay that now over the phone or will it be cash?"
"Sure, yeah, I'll pay over the phone.","Okay. Give me a quick second. Let me have this ready here on my home. Wonderful. Awesome. May I have the long card number, please, [PERSON_NAME]?"
"Yeah, it's [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER].","Okay. And [PERSON_NAME], please."
"[CREDIT_CARD_NUMBER], [CREDIT_CARD_NUMBER], [CREDIT_CARD_NUMBER].","Okay. Security on that one, please."
"[CREDIT_CARD_CVV].","Okay, thank you. Running that now. Give me one moment. Processing. As soon as it's done, I'll let you know."
"Sure.","Okay, I think it's nearly done. Final steps now. I think your bank must have some sort of a security check on it, so it's going to ask you to. A text message is being sent to your phone ending on [PHONE_NUMBER]. So you need to verify that."
"Okay, thank you.","[PERSON_NAME], whatever secret code you get, you need to read that back to me, please."
"Yeah, okay. 184760.","Could you slow down? I'll read it back to you. That's 184760. Processing it now. Believe that should be the final step."
"Can I get your phone number first, please?","[PHONE_NUMBER]."
"For [PERSON_NAME]?","Yes, thank you. What would you like?"
"Can I have one large Aussie, please, and one large country special, no pineapple.","Okay."
"And both of them? Can I have them thin based and well cooked, please?","Okay. Would you like anything else?"
